route_id,trip_id,stop_id,arrival_time,departure_time,shape_dist_traveled,stop_headsign,stop_name,stop_lat,stop_lon
13C,56ac61d7-13fd-4183-a051-132c5033bacf,BUS567,,,1426.96,to Dorms & Dining Halls & Physics,Ford Hall on Stadium Ave: BUS567,40.431395,-86.919409
13C,56ac61d7-13fd-4183-a051-132c5033bacf,BUS190,,,1775.72,to Dorms & Dining Halls & Physics,Armstrong Hall on Stadium Ave (@Shelter): BUS190,40.431280459838,-86.9153011986793
13C,56ac61d7-13fd-4183-a051-132c5033bacf,BUS201,,,1246.23,to Dorms & Dining Halls & Physics,Jischke Dr & Stadium Ave (SE Corner): BUS201,40.4313482349232,-86.9215291144598
13C,f0795e87-fb52-4359-9b69-3c8002895a74,BUS491E,18:20:00,18:20:00,0.0,to Dorms & Dining Halls & Physics,McCutcheon Hall on McCutcheon (@Shelter): BUS491E,40.4255217567397,-86.9288731771036
13C,f0795e87-fb52-4359-9b69-3c8002895a74,BUS470,,,421.94,to Dorms & Dining Halls & Physics,Hillenbrand Hall on 3rd St: BUS470,40.4273751632795,-86.9263746992573
13C,f0795e87-fb52-4359-9b69-3c8002895a74,BUS362,,,990.1,to Dorms & Dining Halls & Physics,Wiley Dining/RSC on Jischke Dr: BUS362,40.4290434973862,-86.921574885939
13C,f0795e87-fb52-4359-9b69-3c8002895a74,BUS201,,,1246.23,to Dorms & Dining Halls & Physics,Jischke Dr & Stadium Ave (SE Corner): BUS201,40.4313482349232,-86.9215291144598
13C,f0795e87-fb52-4359-9b69-3c8002895a74,BUS567,,,1426.96,to Dorms & Dining Halls & Physics,Ford Hall on Stadium Ave: BUS567,40.431395,-86.919409
13C,56ac61d7-13fd-4183-a051-132c5033bacf,BUS557,18:20:00,18:20:00,2008.42,to Dorms & Dining Halls & Physics,Physics Building: BUS557,40.430362,-86.913149
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS190,19:32:11,19:32:11,4929.87,to Tower Acres and Physics,Armstrong Hall on Stadium Ave (@Shelter): BUS190,40.431280459838,-86.9153011986793
14C,7eaddbb1-cfc9-4176-a0b7-e96c2028dfcc,BUS899,20:09:50,20:09:50,1848.01,to Airport and AvTech,Morgan & Jischke Dr (SW Corner): BUS899,40.4234215869559,-86.9217934859868
14C,7eaddbb1-cfc9-4176-a0b7-e96c2028dfcc,BUS547,20:08:27,20:08:27,1508.72,to Airport and AvTech,Mitch Daniels Blv & Russell St (NE Corner): BUS547,40.424234,-86.918942
14C,7eaddbb1-cfc9-4176-a0b7-e96c2028dfcc,BUS271,20:06:00,20:06:00,909.44,to Airport and AvTech,Purdue Memorial Union (PMU) on MD Blvd: BUS271,40.4241243257597,-86.9118599243081
14C,7eaddbb1-cfc9-4176-a0b7-e96c2028dfcc,BUS538,20:03:49,20:03:49,249.48,to Airport and AvTech,Electrical Engineering (at Shelter): BUS538,40.428627,-86.911277
14C,7eaddbb1-cfc9-4176-a0b7-e96c2028dfcc,BUS557,20:03:00,20:03:00,0.0,to Airport and AvTech,Physics Building: BUS557,40.430362,-86.913149
14C,7eaddbb1-cfc9-4176-a0b7-e96c2028dfcc,BUS900,20:11:00,20:11:00,2131.91,to Airport and AvTech,Discovery Learning Center:  BUS900,40.4208681994858,-86.9219094887933
