route_id,trip_id,stop_id,arrival_time,departure_time,shape_dist_traveled,stop_headsign,stop_name,stop_lat,stop_lon
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS146,18:15:00,18:15:00,0.0,to Tower Acres and Physics,Aviation Technology Bldg: BUS146,40.4165685425144,-86.9298910754854
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,5419,18:17:11,18:17:11,593.64,to Tower Acres and Physics,Airport Rd & Harrison St (NW corner),40.4215152208192,-86.9304708090822
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS566S,18:18:37,18:18:37,984.59,to Tower Acres and Physics,Purdue West on Mitch Daniels Blvd (South): BUS566S,40.4242021098257,-86.9293586569642
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS011,18:19:52,18:19:52,1322.93,to Tower Acres and Physics,Aspire Apts at Discovery Park: BUS011,40.4242,-86.925359
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS584SE,18:21:25,18:21:25,1742.0,to Tower Acres and Physics,1st St & Jischke Dr (East Corner): BUS584SE,40.4251770928608,-86.9218819988896
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS289,18:22:17,18:22:17,1977.98,to Tower Acres and Physics,Jischke Dr & 3rd St (SE Corner): BUS289,40.4272102074152,-86.9219798995244
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS362,18:23:03,18:23:03,2186.24,to Tower Acres and Physics,Wiley Dining/RSC on Jischke Dr: BUS362,40.4290434973862,-86.921574885939
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS201,18:24:00,18:24:00,2442.37,to Tower Acres and Physics,Jischke Dr & Stadium Ave (SE Corner): BUS201,40.4313482349232,-86.9215291144598
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS509SE,18:24:31,18:24:31,2613.28,to Tower Acres and Physics,Jischke Dr & Tower Dr (SE Corner): BUS509SE,40.4328844209244,-86.9214300466436
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS472N,18:25:02,18:25:02,2780.15,to Tower Acres and Physics,Tower Dr & Hilltop Dr (NE Corner): BUS472N,40.4332773645685,-86.9231989635944
