route_id,trip_id,stop_id,arrival_time,departure_time,shape_dist_traveled,stop_headsign,stop_name,stop_lat,stop_lon
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS146,07:00:00,07:00:00,0.0,to Purdue Campus University Hall,Aviation Technology Bldg: BUS146,40.4165685425144,-86.9298910754854
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS440,07:04:30,07:04:30,1325.55,to Purdue Campus University Hall,Harrison St & Russell Dr (SW Corner): BUS440,40.4202740144893,-86.9197617125369
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS324,07:06:00,07:06:00,1763.91,to Purdue Campus University Hall,Lynn Hall on Harrison St: BUS324,40.420295,-86.91458
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS294,07:09:04,07:09:04,2350.74,to Purdue Campus University Hall,Grant Street Station Apts (@ Shelter): BUS294,40.4195851803601,-86.9102195739364
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS321,07:10:29,07:10:29,2621.94,to Purdue Campus University Hall,Grant St & Wood St (SE Corner): BUS320,40.4220254970804,-86.910270715372
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS154,07:11:08,07:11:08,2746.19,to Purdue Campus University Hall,Young Hall on Grant St (East): BUS154,40.4231436139921,-86.9102643947257
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS184,07:13:06,07:13:06,3121.19,to Purdue Campus University Hall,Grissom Hall on Grant St (at Shelter): BUS184,40.4265181974481,-86.9103069251959
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS295,07:15:00,07:15:00,3482.81,to Purdue Campus University Hall,Wang Hall on Northwestern (at Crosswalk): BUS295,40.4293452459183,-86.9117512948365
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS530,07:16:02,07:16:02,3735.39,to Purdue Campus University Hall,Northwestern Ave & Stadium Ave (McDonalds): BUS530,40.431117,-86.913622
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS105,07:16:41,07:16:41,3896.74,to Purdue Campus University Hall,Northwestern Ave & Evergreen St(SE Corner): BUS105,40.432242,-86.914828
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS284,07:17:30,07:17:30,4095.29,to Purdue Campus University Hall,Northwestern Ave & Meridian St(SE Corner): BUS284,40.4340002199411,-86.9151375839196
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS203,07:18:45,07:18:45,4400.4,to Purdue Campus University Hall,Northwestern Ave & Northridge Dr(SE Corner):BUS203,40.436737,-86.915429
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS146,07:20:00,07:20:00,0.0,to Purdue Campus University Hall,Aviation Technology Bldg: BUS146,40.4165685425144,-86.9298910754854
16C,6c66d472-1f59-4a6d-be66-4881d3dfea46,BUS426,07:22:00,07:22:00,5190.98,to Purdue Campus University Hall,Stadium Parking Lot on Victory Dr(@Shelter):BUS426,40.4359850547305,-86.9186553012523
16C,608132cf-6db9-4bed-a86b-1373578a0ab2,BUS426,07:22:00,07:22:00,0.0,to Purdue Airport,Stadium Parking Lot on Victory Dr(@Shelter):BUS426,40.4359850547305,-86.9186553012523
16C,608132cf-6db9-4bed-a86b-1373578a0ab2,BUS213S,07:24:10,07:24:10,455.47,to Purdue Airport,Steven Beering Dr & Tower Dr (SW of): BUS213S,40.432584,-86.919271
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS440,07:24:30,07:24:30,1325.55,to Purdue Campus University Hall,Harrison St & Russell Dr (SW Corner): BUS440,40.4202740144893,-86.9197617125369
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS324,07:26:00,07:26:00,1763.91,to Purdue Campus University Hall,Lynn Hall on Harrison St: BUS324,40.420295,-86.91458
16C,608132cf-6db9-4bed-a86b-1373578a0ab2,BUS439,07:26:24,07:26:24,926.23,to Purdue Airport,Russell St & 4th St (NW Corner): BUS439,40.4283480709001,-86.9191991439452
16C,608132cf-6db9-4bed-a86b-1373578a0ab2,BUS804,07:27:28,07:27:28,1148.5,to Purdue Airport,Russell St & 2nd (NW Corner): BUS804,40.4263479523196,-86.9192270252577
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS294,07:29:04,07:29:04,2350.74,to Purdue Campus University Hall,Grant Street Station Apts (@ Shelter): BUS294,40.4195851803601,-86.9102195739364
16C,608132cf-6db9-4bed-a86b-1373578a0ab2,BUS899,07:30:06,07:30:06,1701.32,to Purdue Airport,Morgan & Jischke Dr (SW Corner): BUS899,40.4234215869559,-86.9217934859868
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS321,07:30:29,07:30:29,2621.94,to Purdue Campus University Hall,Grant St & Wood St (SE Corner): BUS320,40.4220254970804,-86.910270715372
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS154,07:31:08,07:31:08,2746.19,to Purdue Campus University Hall,Young Hall on Grant St (East): BUS154,40.4231436139921,-86.9102643947257
16C,608132cf-6db9-4bed-a86b-1373578a0ab2,BUS900,07:31:28,07:31:28,1986.19,to Purdue Airport,Discovery Learning Center:  BUS900,40.4208681994858,-86.9219094887933
16C,608132cf-6db9-4bed-a86b-1373578a0ab2,BUS543NE,07:32:01,07:32:01,2101.05,to Purdue Airport,Gates Rd & Nimitz Dr (NE Corner): BUS543NE,40.4209102569667,-86.9231100083404
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS184,07:33:06,07:33:06,3121.19,to Purdue Campus University Hall,Grissom Hall on Grant St (at Shelter): BUS184,40.4265181974481,-86.9103069251959
16C,608132cf-6db9-4bed-a86b-1373578a0ab2,BUS249,07:34:00,07:34:00,2516.92,to Purdue Airport,Discovery Parking Lot (at Shelter): BUS249,40.4194143664488,-86.9240948214588
16C,608132cf-6db9-4bed-a86b-1373578a0ab2,BUS543SE,07:34:43,07:34:43,2696.65,to Purdue Airport,Gates Rd & Nimitz Dr (SE Corner): BUS543SE,40.4207538802026,-86.9232279055134
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS295,07:35:00,07:35:00,3482.81,to Purdue Campus University Hall,Wang Hall on Northwestern (at Crosswalk): BUS295,40.4293452459183,-86.9117512948365
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS530,07:36:02,07:36:02,3735.39,to Purdue Campus University Hall,Northwestern Ave & Stadium Ave (McDonalds): BUS530,40.431117,-86.913622
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS105,07:36:41,07:36:41,3896.74,to Purdue Campus University Hall,Northwestern Ave & Evergreen St(SE Corner): BUS105,40.432242,-86.914828
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS284,07:37:30,07:37:30,4095.29,to Purdue Campus University Hall,Northwestern Ave & Meridian St(SE Corner): BUS284,40.4340002199411,-86.9151375839196
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS203,07:38:45,07:38:45,4400.4,to Purdue Campus University Hall,Northwestern Ave & Northridge Dr(SE Corner):BUS203,40.436737,-86.915429
16C,9599e590-909f-4401-a113-3529a4728429,BUS146,07:40:00,07:40:00,0.0,to Purdue Campus University Hall,Aviation Technology Bldg: BUS146,40.4165685425144,-86.9298910754854
16C,608132cf-6db9-4bed-a86b-1373578a0ab2,BUS146,07:40:00,07:40:00,4000.05,to Purdue Airport,Aviation Technology Bldg: BUS146,40.4165685425144,-86.9298910754854
16C,fc1cff94-034d-430c-a10f-91e979b85f32,BUS426,07:42:00,07:42:00,0.0,to Purdue Airport,Stadium Parking Lot on Victory Dr(@Shelter):BUS426,40.4359850547305,-86.9186553012523
16C,6bc2385a-3dd8-4e9c-bcfe-9ef2bca620b2,BUS426,07:42:00,07:42:00,5190.98,to Purdue Campus University Hall,Stadium Parking Lot on Victory Dr(@Shelter):BUS426,40.4359850547305,-86.9186553012523
16C,fc1cff94-034d-430c-a10f-91e979b85f32,BUS213S,07:44:10,07:44:10,455.47,to Purdue Airport,Steven Beering Dr & Tower Dr (SW of): BUS213S,40.432584,-86.919271
16C,9599e590-909f-4401-a113-3529a4728429,BUS440,07:44:30,07:44:30,1325.55,to Purdue Campus University Hall,Harrison St & Russell Dr (SW Corner): BUS440,40.4202740144893,-86.9197617125369
16C,9599e590-909f-4401-a113-3529a4728429,BUS324,07:46:00,07:46:00,1763.91,to Purdue Campus University Hall,Lynn Hall on Harrison St: BUS324,40.420295,-86.91458
16C,fc1cff94-034d-430c-a10f-91e979b85f32,BUS439,07:46:24,07:46:24,926.23,to Purdue Airport,Russell St & 4th St (NW Corner): BUS439,40.4283480709001,-86.9191991439452
16C,fc1cff94-034d-430c-a10f-91e979b85f32,BUS804,07:47:28,07:47:28,1148.5,to Purdue Airport,Russell St & 2nd (NW Corner): BUS804,40.4263479523196,-86.9192270252577
16C,9599e590-909f-4401-a113-3529a4728429,BUS294,07:49:04,07:49:04,2350.74,to Purdue Campus University Hall,Grant Street Station Apts (@ Shelter): BUS294,40.4195851803601,-86.9102195739364
16C,fc1cff94-034d-430c-a10f-91e979b85f32,BUS899,07:50:06,07:50:06,1701.32,to Purdue Airport,Morgan & Jischke Dr (SW Corner): BUS899,40.4234215869559,-86.9217934859868
16C,9599e590-909f-4401-a113-3529a4728429,BUS321,07:50:29,07:50:29,2621.94,to Purdue Campus University Hall,Grant St & Wood St (SE Corner): BUS320,40.4220254970804,-86.910270715372
16C,9599e590-909f-4401-a113-3529a4728429,BUS154,07:51:08,07:51:08,2746.19,to Purdue Campus University Hall,Young Hall on Grant St (East): BUS154,40.4231436139921,-86.9102643947257
16C,fc1cff94-034d-430c-a10f-91e979b85f32,BUS900,07:51:28,07:51:28,1986.19,to Purdue Airport,Discovery Learning Center:  BUS900,40.4208681994858,-86.9219094887933
16C,fc1cff94-034d-430c-a10f-91e979b85f32,BUS543NE,07:52:01,07:52:01,2101.05,to Purdue Airport,Gates Rd & Nimitz Dr (NE Corner): BUS543NE,40.4209102569667,-86.9231100083404
