route_id,trip_id,stop_id,arrival_time,departure_time,shape_dist_traveled,stop_headsign,stop_name,stop_lat,stop_lon
15C,06151306-f55b-43db-8d69-e8e2c53d2152,BUS213S,07:35:34,07:35:34,1032.5,to Campus and PMU,Steven Beering Dr & Tower Dr (SW of): BUS213S,40.432584,-86.919271
15C,cf7e0e7e-5d75-440d-8f0b-e0bb925d8e66,BUS472N,07:36:17,07:36:17,1950.84,to Tower Acres,Tower Dr & Hilltop Dr (NE Corner): BUS472N,40.4332773645685,-86.9231989635944
15C,a4c7b2b5-a13d-4799-8546-c2d66d2a43de,BUS389,07:37:08,07:37:08,593.95,to Tower Acres,Beering Hall on University St (@Shelter): BUS389,40.4259026304426,-86.9166141400703
15C,06151306-f55b-43db-8d69-e8e2c53d2152,BUS190,07:37:10,07:37:10,1499.02,to Campus and PMU,Armstrong Hall on Stadium Ave (@Shelter): BUS190,40.431280459838,-86.9153011986793
15C,cf7e0e7e-5d75-440d-8f0b-e0bb925d8e66,BUS562N,07:37:39,07:37:39,2208.31,to Tower Acres,Theta Chi on Tower Dr: BUS562N,40.4332438369539,-86.9261467114774
15C,06151306-f55b-43db-8d69-e8e2c53d2152,BUS557,07:38:00,07:38:00,1736.1,to Campus and PMU,Physics Building: BUS557,40.430362,-86.913149
15C,cf7e0e7e-5d75-440d-8f0b-e0bb925d8e66,BUS554E,07:38:59,07:38:59,2461.07,to Tower Acres,Alpha Chi on David Ross Rd: BUS554E,40.4343180617284,-86.9256786659764
15C,a4c7b2b5-a13d-4799-8546-c2d66d2a43de,BUS490SE,07:39:02,07:39:02,957.12,to Tower Acres,N University St & 5th St at PUSH: BUS490SE,40.429170902322,-86.916608775652
15C,06151306-f55b-43db-8d69-e8e2c53d2152,BUS538,07:39:05,07:39:05,1985.58,to Campus and PMU,Electrical Engineering (at Shelter): BUS538,40.428627,-86.911277
15C,a9d9bc8d-39ff-4230-919b-27d47751a211,BUS553,07:40:00,07:40:00,0.0,to Campus and PMU,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
15C,cf7e0e7e-5d75-440d-8f0b-e0bb925d8e66,BUS553,07:40:00,07:40:00,2653.46,to Tower Acres,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
15C,a9d9bc8d-39ff-4230-919b-27d47751a211,BUS554W,07:40:25,07:40:25,125.29,to Campus and PMU,Alpha Chi on David Ross Rd: BUS554W,40.4344240089908,-86.9257041469636
15C,a9d9bc8d-39ff-4230-919b-27d47751a211,BUS562S,07:41:27,07:41:27,420.39,to Campus and PMU,Theta Chi on Tower Dr: BUS562S,40.4331875105612,-86.9259388402664
15C,06151306-f55b-43db-8d69-e8e2c53d2152,BUS271,07:42:00,07:42:00,2648.53,to Campus and PMU,Purdue Memorial Union (PMU) on MD Blvd: BUS271,40.4241243257597,-86.9118599243081
